"","repID","Geneid","is_re","class","superf","fam","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"1032","UCON73:hAT:DNA","UCON73:hAT:DNA",TRUE,"DNA","DNA/hAT","UCON73",0.676488283380954,-0.162286500549227,0.477736646210519,0.89145734961972,"Not Sig."
"1033","UCON76:UCON76:Unknown","UCON76:UCON76:Unknown",TRUE,"Unknown","Unknown/UCON76","UCON76",0.905083418871339,0.199917416207715,0.197808164408842,0.772021073322277,"Not Sig."
"1034","UCON78:DNA:DNA","UCON78:DNA:DNA",TRUE,"DNA","DNA/DNA","UCON78",1.2716201796595,-0.196741722336626,0.222827402811546,0.797913307097449,"Not Sig."
"1035","UCON8:DNA:DNA","UCON8:DNA:DNA",TRUE,"DNA","DNA/DNA","UCON8",1.16326112587408,0.229688023944043,0.149962399064009,0.717261149692025,"Not Sig."
"1036","UCON80_AMi:UCON80_AMi:Unknown","UCON80_AMi:UCON80_AMi:Unknown",TRUE,"Unknown","Unknown/UCON80_AMi","UCON80_AMi",0.937245086217738,0.0492555496742187,0.785028424745151,0.962323938206539,"Not Sig."
"1037","UCON83:DNA:DNA","UCON83:DNA:DNA",TRUE,"DNA","DNA/DNA","UCON83",0.352366495112234,0.292140326287205,0.268983020644404,0.825449032914936,"Not Sig."
"1038","UCON85:UCON85:Unknown","UCON85:UCON85:Unknown",TRUE,"Unknown","Unknown/UCON85","UCON85",0.40423415463914,-0.262807645924013,0.339191620483136,0.83950227606948,"Not Sig."
"1039","UCON86:L2:LINE","UCON86:L2:LINE",TRUE,"LINE","LINE/L2","UCON86",0.290916757098352,0.461761893019336,0.104614128970615,0.642372813810429,"Not Sig."
"1040","UCON88:UCON88:Unknown","UCON88:UCON88:Unknown",TRUE,"Unknown","Unknown/UCON88","UCON88",0.242372277738797,-0.46636783847084,0.121369677475595,0.66166173151666,"Not Sig."
"1041","UCON9:PIF-Harbinger:DNA","UCON9:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","UCON9",0.715073964901219,0.331571961733164,0.196535822833011,0.769824432396452,"Not Sig."
"1042","UCON9B:PIF-Harbinger:DNA","UCON9B:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","UCON9B",0.238974684144375,-0.0482613731061761,0.874290093874369,0.983126525568164,"Not Sig."
"1043","URR1A:hAT-Charlie:DNA","URR1A:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","URR1A",244.036098074711,-0.0112101214416019,0.837606062426212,0.973234127937497,"Not Sig."
"1044","URR1B:hAT-Charlie:DNA","URR1B:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","URR1B",198.766032122191,-0.026992958165846,0.602942108507335,0.930718369418157,"Not Sig."
"1045","X1_DNA:TcMar-Tigger:DNA","X1_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X1_DNA",0.986132829724797,0.0396456284014729,0.826145790044796,0.969877939766152,"Not Sig."
"1046","X1_LINE:CR1:LINE","X1_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X1_LINE",0.192033470215834,0.130255335213699,0.730506893805708,0.945823364891639,"Not Sig."
"1047","X10b_DNA:TcMar-Tigger:DNA","X10b_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X10b_DNA",0.503461001577751,0.280415099073232,0.24871612530038,0.819362200554998,"Not Sig."
"1048","X11_DNA:TcMar-Tigger:DNA","X11_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X11_DNA",0.547149639757558,0.126744160218049,0.591237724264555,0.929254356749164,"Not Sig."
"1049","X12_DNA:TcMar-Tigger:DNA","X12_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X12_DNA",4.07155531179828,-0.184309153518775,0.0178134045934949,0.357777262239111,"Not Sig."
"1050","X12_LINE:I-Jockey:LINE","X12_LINE:I-Jockey:LINE",TRUE,"LINE","LINE/I-Jockey","X12_LINE",4.19463375190553,0.1027669661387,0.318317568002685,0.834626762189546,"Not Sig."
"1051","X13_LINE:L2:LINE","X13_LINE:L2:LINE",TRUE,"LINE","LINE/L2","X13_LINE",0.298288944954294,-0.54800551220852,0.107302498850321,0.643222161616566,"Not Sig."
"1052","X15_LINE:L2:LINE","X15_LINE:L2:LINE",TRUE,"LINE","LINE/L2","X15_LINE",4.5103248050012,0.319370184444752,0.00526026098338197,0.210450234776291,"Not Sig."
"1053","X17_LINE:CR1:LINE","X17_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X17_LINE",5.25239839664342,0.157846597904772,0.0624005240244292,0.566735092624706,"Not Sig."
"1054","X2_LINE:CR1:LINE","X2_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X2_LINE",0.805915546683708,-0.0861620636372169,0.724953954254385,0.944267755541426,"Not Sig."
"1055","X20_LINE:CR1:LINE","X20_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X20_LINE",0.307215503244964,0.215652338509062,0.537666825229643,0.913190417443638,"Not Sig."
"1056","X21_LINE:CR1:LINE","X21_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X21_LINE",0.300432740883241,0.582493454084087,0.0932676653179402,0.628542961925249,"Not Sig."
"1057","X24_DNA:DNA:DNA","X24_DNA:DNA:DNA",TRUE,"DNA","DNA/DNA","X24_DNA",0.270581503262539,0.295402912680998,0.348190538605296,0.841395844959347,"Not Sig."
"1058","X24_LINE:L2:LINE","X24_LINE:L2:LINE",TRUE,"LINE","LINE/L2","X24_LINE",2.34501776573008,0.0758058846551689,0.469287861322811,0.89145734961972,"Not Sig."
"1059","X26_DNA:TcMar-Tigger:DNA","X26_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X26_DNA",2.30423409218202,0.0532126594596252,0.685534293481522,0.93605739978032,"Not Sig."
"1060","X2a_DNA:DNA:DNA","X2a_DNA:DNA:DNA",TRUE,"DNA","DNA/DNA","X2a_DNA",1.09541846749384,0.182738962674449,0.473300143442943,0.89145734961972,"Not Sig."
"1061","X30_DNA:DNA:DNA","X30_DNA:DNA:DNA",TRUE,"DNA","DNA/DNA","X30_DNA",1.19538926108336,0.0484889845692249,0.732795644581818,0.946102094391524,"Not Sig."
"1062","X32_DNA:TcMar-Tc1:DNA","X32_DNA:TcMar-Tc1:DNA",TRUE,"DNA","DNA/TcMar-Tc1","X32_DNA",0.319224989142041,-0.167591101865954,0.535807700615028,0.913190417443638,"Not Sig."
"1063","X33a_DNA:TcMar-Tc1:DNA","X33a_DNA:TcMar-Tc1:DNA",TRUE,"DNA","DNA/TcMar-Tc1","X33a_DNA",0.304108128504383,-0.0710209805317726,0.808415171441848,0.967842810611808,"Not Sig."
"1064","X34_DNA:DNA:DNA","X34_DNA:DNA:DNA",TRUE,"DNA","DNA/DNA","X34_DNA",0.410079358819274,0.0892683288400298,0.800319046482836,0.967349516387247,"Not Sig."
"1065","X4a_DNA:TcMar-Tigger:DNA","X4a_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X4a_DNA",0.556485073833489,-0.0256492079387426,0.927309754643568,0.985312865046948,"Not Sig."
"1066","X4b_DNA:TcMar-Tigger:DNA","X4b_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X4b_DNA",1.51740530201214,-0.123468837040161,0.343587425235532,0.83950227606948,"Not Sig."
"1067","X5a_DNA:TcMar-Tigger:DNA","X5a_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X5a_DNA",1.36279829235497,0.0206162060175991,0.903778151300075,0.985312865046948,"Not Sig."
"1068","X5B_LINE:CR1:LINE","X5B_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X5B_LINE",0.592498733548271,-0.142309179815255,0.604457031790207,0.930718369418157,"Not Sig."
"1069","X6a_DNA:TcMar-Tigger:DNA","X6a_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X6a_DNA",2.77116341716562,-0.0807471721086006,0.495917624464266,0.895434429443804,"Not Sig."
"1070","X6A_LINE:CR1:LINE","X6A_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X6A_LINE",3.25653829502484,0.0223563253411437,0.801369319505822,0.967349516387247,"Not Sig."
"1071","X6b_DNA:TcMar-Tigger:DNA","X6b_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X6b_DNA",0.992327812209294,-0.0241653811972499,0.877668559791535,0.98313512872106,"Not Sig."
"1072","X6B_LINE:CR1:LINE","X6B_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X6B_LINE",5.1446981198214,-0.0857803283725475,0.270855350385798,0.825449032914936,"Not Sig."
"1073","X7A_LINE:CR1:LINE","X7A_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X7A_LINE",2.51010351284664,-0.0370678136482665,0.78034198373473,0.962323938206539,"Not Sig."
"1074","X7B_LINE:CR1:LINE","X7B_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X7B_LINE",1.39339917281837,-0.211139841982753,0.127380415935138,0.677488976909926,"Not Sig."
"1075","X7C_LINE:CR1:LINE","X7C_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X7C_LINE",1.25341257683866,0.460976438671467,0.00301488237185609,0.136297807227661,"Not Sig."
"1076","X8_LINE:CR1:LINE","X8_LINE:CR1:LINE",TRUE,"LINE","LINE/CR1","X8_LINE",0.606024387641778,0.158616968830357,0.551882498349227,0.913190417443638,"Not Sig."
"1077","X9_LINE:L1:LINE","X9_LINE:L1:LINE",TRUE,"LINE","LINE/L1","X9_LINE",4.89648103989568,0.0772672898683373,0.374296179333803,0.868457453815866,"Not Sig."
"1078","X9a_DNA:DNA:DNA","X9a_DNA:DNA:DNA",TRUE,"DNA","DNA/DNA","X9a_DNA",2.45664717023696,0.0772014466096761,0.627769120598158,0.932536212835387,"Not Sig."
"1079","X9b_DNA:TcMar-Tigger:DNA","X9b_DNA:TcMar-Tigger:DNA",TRUE,"DNA","DNA/TcMar-Tigger","X9b_DNA",1.37782507633373,0.0947392752944828,0.621916720410638,0.930718369418157,"Not Sig."
"1080","YREP_Mm:YREP_Mm:Unknown","YREP_Mm:YREP_Mm:Unknown",TRUE,"Unknown","Unknown/YREP_Mm","YREP_Mm",0.708890435872779,-0.018816152381093,0.93139807842505,0.985312865046948,"Not Sig."
"1081","Zaphod:hAT-Tip100:DNA","Zaphod:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Zaphod",2.32311397153522,0.190319731604568,0.0821078850727493,0.607332611750739,"Not Sig."
"1082","Zaphod2:hAT-Tip100:DNA","Zaphod2:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Zaphod2",0.809052301712077,-0.107459182428687,0.615001061663741,0.930718369418157,"Not Sig."
"1083","Zaphod3:hAT-Tip100:DNA","Zaphod3:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Zaphod3",1.37235770489166,-0.143395649675374,0.474365874684004,0.89145734961972,"Not Sig."
"1084","Zaphod4a:hAT-Tip100:DNA","Zaphod4a:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Zaphod4a",0.86203090567044,-0.49989699136361,0.0027939711821547,0.13180255359295,"Not Sig."
"1085","ZP3AR:Satellite:Satellite","ZP3AR:Satellite:Satellite",TRUE,"Satellite","Satellite/Satellite","ZP3AR",46.3659016342337,-0.144376937850184,0.0692309514529684,0.574859646900116,"Not Sig."
