"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"3048","Cstad","ENSMUSG00000047363",FALSE,"Cstad",78617,0.46914274637025,-0.104399539792494,0.726134903976056,0.89721937159578,"Not Sig."
"3049","Cstb","ENSMUSG00000005054",FALSE,"Cstb",13014,118.676455175184,0.275987723893168,0.0141400125572236,0.150490133644737,"Not Sig."
"3050","Cstf1","ENSMUSG00000027498",FALSE,"Cstf1",67337,28.3964816092625,-0.034893196635151,0.676600318590875,0.873379301177238,"Not Sig."
"3051","Cstf2","ENSMUSG00000031256",FALSE,"Cstf2",108062,29.7526801543307,-0.0416556926319355,0.81946836200284,0.940732484809225,"Not Sig."
"3052","Cstf2t","ENSMUSG00000053536",FALSE,"Cstf2t",83410,55.7541381069672,0.115102751275368,0.251684605084632,0.579792704632544,"Not Sig."
"3053","Cstf3","ENSMUSG00000027176",FALSE,"Cstf3",228410,22.238834523407,-0.028554415582742,0.850426818822662,0.951892444177956,"Not Sig."
"3054","Cstpp1","ENSMUSG00000040591",FALSE,"Cstpp1",228356,28.2666190047465,0.0702002305403865,0.407149122703226,0.713379336735489,"Not Sig."
"3055","Ctbp1","ENSMUSG00000037373",FALSE,"Ctbp1",13016,146.502104428585,0.118150830882401,0.345519747217827,0.664625885105244,"Not Sig."
"3056","Ctbp2","ENSMUSG00000030970",FALSE,"Ctbp2",13017,63.693969564257,-0.0842245504934338,0.307280101033758,0.632625707871993,"Not Sig."
"3057","Ctbs","ENSMUSG00000028189",FALSE,"Ctbs",74245,25.5865101544384,0.106614416046822,0.500341185571362,0.7741728649397,"Not Sig."
"3058","Ctc1","ENSMUSG00000020898",FALSE,"Ctc1",68964,40.4397886334267,0.0112300717024004,0.897259834089671,0.969193671534813,"Not Sig."
"3059","Ctcf","ENSMUSG00000005698",FALSE,"Ctcf",13018,46.8109272608389,0.0636123651678914,0.547119006658698,0.803703331065039,"Not Sig."
"3060","Ctdnep1","ENSMUSG00000018559",FALSE,"Ctdnep1",67181,88.2240063873859,-0.00056546570214422,0.994244195352559,0.998078563243958,"Not Sig."
"3061","Ctdp1","ENSMUSG00000033323",FALSE,"Ctdp1",67655,32.6513343253503,-0.123366393509645,0.354159089914893,0.671470789486844,"Not Sig."
"3062","Ctdsp1","ENSMUSG00000026176",FALSE,"Ctdsp1",227292,134.91454104613,0.269042388835775,0.0360618668255745,0.237361737555254,"Not Sig."
"3063","Ctdsp2","ENSMUSG00000078429",FALSE,"Ctdsp2",52468,339.064228761699,0.120769496695497,0.32260667281351,0.645235067902958,"Not Sig."
"3064","Ctdspl","ENSMUSG00000047409",FALSE,"Ctdspl",69274,43.5808091841968,-0.0997945787749105,0.440926824766889,0.736728530992249,"Not Sig."
"3065","Ctdspl2","ENSMUSG00000033411",FALSE,"Ctdspl2",329506,47.1317071390251,-0.0534337026163426,0.500695943102961,0.77451164817087,"Not Sig."
